Benchmark multi-instancia -- 17 repeticiones, 100 pedidos, 5 drones
Tiempos (s): [1, 2, 3, 5, 7, 10, 15, 20, 30, 45, 60, 80, 100, 120, 300]

t(s)	media	desv_std	valores_por_repeticion
1	972886.8	110641.0	[1061146, 922622, 1144282, 843498, 979974, 1237569, 810895, 965084, 836939, 931926, 928591, 972797, 1009366, 1058294, 843275, 938926, 1053891]
2	865678.5	68875.7	[915021, 804370, 918540, 771771, 912888, 982608, 741324, 855624, 751232, 860810, 885466, 933650, 890669, 926256, 801252, 836555, 928499]
3	834934.4	62479.3	[872010, 797650, 855150, 766131, 907978, 873274, 736317, 852607, 725056, 851799, 801006, 924558, 877322, 901143, 730661, 831466, 889757]
5	729765.8	56637.7	[803015, 721925, 768023, 657772, 769396, 772592, 615650, 685761, 649809, 690823, 730503, 798581, 726998, 805386, 728991, 687968, 792826]
7	693215.4	55182.3	[733173, 690343, 768023, 627293, 769396, 772592, 587345, 625307, 620281, 659659, 729461, 691898, 692295, 733331, 693840, 657028, 733397]
10	688502.2	57574.4	[695711, 690237, 768023, 626637, 769396, 772592, 584905, 621752, 588478, 659659, 728330, 691087, 691727, 732945, 693840, 657028, 732191]
15	684501.5	60304.3	[695711, 690237, 768023, 626637, 768794, 772592, 553992, 621614, 588309, 659659, 692414, 690958, 691727, 732945, 693694, 657028, 732191]
20	684456.1	60258.0	[695711, 690237, 768023, 626637, 768500, 772592, 553992, 621614, 588309, 659659, 692414, 690958, 691727, 732945, 693694, 657028, 731713]
30	684354.1	60228.6	[695332, 689444, 767728, 626567, 768500, 772592, 553992, 621614, 588309, 659659, 692414, 690843, 691727, 732945, 693623, 657017, 731713]
45	676533.8	55637.1	[695319, 658277, 732483, 626567, 733938, 772592, 553992, 621614, 587639, 659659, 692177, 660781, 691727, 732491, 693623, 656655, 731541]
60	674288.5	55613.9	[695319, 658277, 732483, 626567, 732551, 772592, 553992, 621614, 587639, 656041, 692177, 660703, 658832, 732491, 693623, 656655, 731349]
80	674185.0	55679.0	[695319, 658277, 732258, 626567, 732551, 772592, 553229, 621614, 587639, 655911, 692152, 660624, 658832, 732491, 693348, 656655, 731086]
100	670447.2	55459.8	[695319, 658277, 732258, 626567, 732513, 772592, 552377, 621614, 587639, 655911, 661159, 660624, 658649, 732491, 661988, 656655, 730970]
120	670280.8	55387.3	[693924, 658277, 732258, 626459, 731990, 772315, 552377, 621614, 587416, 655911, 661159, 660320, 658649, 732491, 661988, 656655, 730970]
300	660129.1	55368.0	[663789, 658099, 731809, 625011, 696136, 771797, 551511, 621371, 555774, 655523, 660183, 659052, 658649, 732033, 659645, 625031, 696782]
